개수(데이터는 엑셀확인)
289
0	0	10	123	15	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	15
0	0	30	123	10	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	10
0	0	50	123	20	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	20
2	1	70	115	-3	1	0	0	0	0	0	20	2	80	10	2	20	1	60	-3
2	1	75	115	33	1	0	0	0	0	0	20	2	80	20	2	20	1	60	33
2	1	85	110	-3	1	0	0	0	0	0	20	2	70	25	2	10	1	123	25
2	1	90	110	33	1	0	0	0	0	0	20	2	70	5	2	10	1	123	5
1	1	100	100	33	2	10	0	100	15	0	10	0	60	15	0	10	0	60	33
1	1	105	100	33	2	10	0	100	15	0	10	0	60	15	0	10	0	60	33
1	1	110	100	33	2	10	0	100	15	0	10	0	60	15	0	10	0	60	33
1	1	115	100	33	2	10	0	100	15	0	10	0	60	15	0	10	0	60	33
1	1	120	100	33	2	10	0	100	15	0	10	0	60	15	0	10	0	60	33
0	0	130	123	3	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	3
0	0	135	123	7	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	7
0	0	140	123	11	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	11
0	0	145	123	15	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	15
0	0	150	123	19	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	19
0	0	155	123	23	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	23
0	0	160	123	27	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	27
2	1	170	115	-3	1	0	0	0	0	0	20	2	60	10	2	20	1	100	-3
2	1	175	115	33	1	0	0	0	0	0	20	2	60	20	2	20	1	100	33
2	1	180	110	-3	1	0	0	0	0	0	20	2	80	25	2	20	1	100	-3
2	1	185	110	33	1	0	0	0	0	0	20	2	80	5	2	20	1	100	33
2	1	190	100	-3	1	0	0	0	0	0	20	2	120	13	2	20	1	70	33
2	1	195	100	33	1	0	0	0	0	0	20	2	120	17	2	20	1	70	-3
1	1	195	90	-3	2	10	0	90	20	0	10	0	110	20	0	10	0	110	33
1	1	200	90	-3	2	10	0	90	20	0	10	0	110	20	0	10	0	110	33
1	1	205	90	-3	2	10	0	90	20	0	10	0	110	20	0	10	0	110	33
1	1	210	90	-3	2	10	0	90	20	0	10	0	110	20	0	10	0	110	33
1	1	215	90	-3	2	10	0	90	20	0	10	0	110	20	0	10	0	110	33
0	0	220	123	3	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	3
0	0	220	123	7	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	7
0	0	220	123	11	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	11
0	0	220	123	15	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	15
0	0	220	123	19	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	19
0	0	220	123	23	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	23
0	0	220	123	27	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	27
0	0	240	123	3	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	3
0	0	240	123	7	0	0	0	0	0	0	0	0	0	0	0	10	0	-3	7
